date,open,high,low,close,volume,norm_open,norm_high,norm_low,norm_close,norm_volume,daily_return,rolling_vol_5d,ma_ratio_10,ma_ratio_20
2010-02-01,6.870357036590576,7.0,6.8321428298950195,6.9546427726745605,749876400,-1.1031410404355593,-1.0972664969590278,-1.1057436847870512,-1.0997854041056916,2.0928998071148555,0.013901876021248594,0.028209331698281354,0.9566409156859643,0.940424785506951
2010-02-02,6.996786117553711,7.0114288330078125,6.906428813934326,6.994999885559082,698342400,-1.0979899460368767,-1.0968071019752057,-1.1026743144191582,-1.0981418512602485,1.861844906044086,0.005802902349361316,0.026783159143552164,0.9713446733637081,0.9500457069646471
2010-02-03,6.9703569412231445,7.150000095367432,6.943571090698242,7.115356922149658,615328000,-1.0990667487876447,-1.091237071965461,-1.1011396587883608,-1.0932402828422212,1.4896462802931396,0.017206152760495197,0.02835272529054831,0.9942211917840416,0.9699563076885336
2010-02-04,7.026071071624756,7.0846428871154785,6.841785907745361,6.85892915725708,757652000,-1.0967967904611826,-1.0938641795281514,-1.105345249230305,-1.1036833634423064,2.127762043478535,-0.03603863695078102,0.026866313281744304,0.9661143914705906,0.9393265888777456
2010-02-05,6.879642963409424,7.0,6.816071033477783,6.980713844299316,850306800,-1.102762704333938,-1.0972664969590278,-1.1064077440482945,-1.0987236536262848,2.543183816438754,0.017755641478434336,0.022735620101524693,0.984402402625857,0.9595530117648332
2010-02-08,6.98892879486084,7.067142963409424,6.9285712242126465,6.932857036590576,478270800,-1.0983100765844023,-1.094567608930115,-1.1017594277300884,-1.1006726332945922,0.8751444409824584,-0.006855575056671559,0.022303942859101082,0.9820805096143145,0.9571708829115844
2010-02-09,7.014999866485596,7.0535712242126465,6.955357074737549,7.006785869598389,632886800,-1.0972478640776684,-1.0951131404734036,-1.1006526819967823,-1.0976618643082687,1.5683719137957093,0.010663545002821628,0.02274486832556559,0.9974731662262856,0.9707090494189193
2010-02-10,6.996070861816406,7.021429061889648,6.937857151031494,6.968571186065674,370361600,-1.0980190876694347,-1.0964051313643617,-1.1013757490458145,-1.099218166218111,0.3913289108348692,-0.005453953388032562,0.02076697514331246,0.9985108037546564,0.9684335645062676
2010-02-11,6.960000038146973,7.1339287757873535,6.930714130401611,7.0953569412231445,550345600,-1.0994887196270826,-1.0918830769944468,-1.101670886495256,-1.0940547867353674,1.1982949005566323,0.018193938437622847,0.01226163287366121,1.0170003221380437,0.9889934610269833
2010-02-12,7.075356960296631,7.2014288902282715,6.982142925262451,7.156428813934326,655468800,-1.0947887377003955,-1.0891698328722896,-1.0995459362634763,-1.0915676204591718,1.669619280116587,0.008607300974015963,0.010828242635490365,1.0214037445706454,0.9997580562054353
2010-02-16,7.2121429443359375,7.2746429443359375,7.197143077850342,7.264286041259766,543737600,-1.0892156724622752,-1.0862269104252351,-1.0906624960562823,-1.0871751096921216,1.1686676489115895,0.015071375700046019,0.009115390185839456,1.0322358471160602,1.0154666927747045
2010-02-17,7.292500019073486,7.296785831451416,7.1735711097717285,7.23392915725708,436396800,-1.0859416877554195,-1.085336851811094,-1.0916364496394393,-1.0884114008813393,0.6874005645622815,-0.004178921896833887,0.010857948958939318,1.024444101627125,1.0143857754027321
2010-02-18,7.201070785522461,7.28178596496582,7.175714015960693,7.247499942779541,422825200,-1.089666784934271,-1.0859397885603466,-1.0915479084046067,-1.087858727472214,0.6265517134082462,0.0018759909348637915,0.00922065806880311,1.024448832922275,1.01853314962207
2010-02-19,7.209286212921143,7.257143020629883,7.182499885559082,7.202499866485596,415469600,-1.0893320641427113,-1.0869303398271988,-1.0912675278276374,-1.089691366086619,0.593572565072853,-0.006209048175126575,0.008870756198913475,1.0131675913885199,1.0138373726064815
2010-02-22,7.226428985595703,7.232142925262451,7.11392879486084,7.1578569412231445,390563600,-1.0886336169213195,-1.0879352471872956,-1.0941007685338777,-1.0915094596418728,0.481905444995456,-0.006198254229782374,0.009014899412646866,1.0043849423426467,1.006877603966366
2010-02-23,7.142857074737549,7.190357208251953,6.989643096923828,7.0378570556640625,575094800,-1.0920385835526452,-1.089614871762867,-1.0992360419415628,-1.0963964830007493,1.309259001103469,-0.016764778416844983,0.00672450531553037,0.9860937879507271,0.9914943477281036
2010-02-24,7.0796427726745605,7.194285869598389,7.065713882446289,7.166429042816162,460566400,-1.0946141210381088,-1.0894569547371782,-1.0960929266155082,-1.0911603588029466,0.7957660036300827,0.018268627244798274,0.013028732643183038,1.0018673857723108,1.0109504291439753
2010-02-25,7.049285888671875,7.244999885559082,7.03178596496582,7.214285850524902,665126000,-1.0958509502071296,-1.0874184469975097,-1.097494770394057,-1.0892113791346392,1.7129177508469908,0.006677915517312449,0.013535090439215936,1.0051051418112036,1.0192111357274416
2010-02-26,7.2278571128845215,7.327499866485596,7.214285850524902,7.307857036590576,507460800,-1.0885754307949789,-1.0841022661261,-1.0899541858797224,-1.085400670733625,1.006019058948379,0.01297026317010519,0.014329324020475506,1.0151362247108942,1.0310441759953004
2010-03-01,7.348214149475098,7.482142925262451,7.337500095367432,7.463929176330566,550093600,-1.0836717294289575,-1.0778862119203554,-1.0848631830894535,-1.079044596400507,1.1971650477396605,0.021356758754109917,0.015184980915314122,1.032406325579,1.048591309849613
2010-03-02,7.497499942779541,7.5296430587768555,7.419285774230957,7.458929061889648,566546400,-1.0775893850202558,-1.0759768898528728,-1.0814839381017465,-1.07924822722862,1.270931882767742,-0.0006699037896520377,0.008891669208277336,1.028944494772856,1.0441900154104478
2010-03-03,7.4621429443359375,7.495357036590576,7.42642879486084,7.476070880889893,372052800,-1.079029933628611,-1.077355055637325,-1.081188800652305,-1.0785501226472902,0.39891147862877,0.002298160883152489,0.008819663912521468,1.027875764294778,1.0430773741663093
2010-03-04,7.474286079406738,7.5328569412231445,7.451070785522461,7.525356769561768,366041200,-1.0785351864187986,-1.0758477041806866,-1.0801706355580303,-1.0765429433230747,0.37195821198389406,0.006592485472262988,0.00882422231415243,1.0307144651075564,1.0469593306844465
2010-03-05,7.67642879486084,7.846428871154785,7.6653571128845215,7.819643020629883,899620400,-1.0702992947918262,-1.0632433226502644,-1.071316689393681,-1.0645580670336887,2.7642834587999814,0.03910595338927081,0.016515859983987368,1.0620443586788844,1.0806795697574718
2010-03-08,7.857500076293945,7.86035680770874,7.794642925262451,7.824285984039307,429889600,-1.0629219156600083,-1.0626834733477588,-1.065974819771387,-1.064368981264727,0.6582252540440273,0.0005937564409492779,0.016729803980188217,1.0531426729481324,1.0750546186499819
2010-03-09,7.796785831451416,8.035714149475098,7.78178596496582,7.965000152587891,920259200,-1.0653955934258048,-1.0556347849008507,-1.0665060474782824,-1.0586383638944028,2.856818404509986,0.01798428237868932,0.015932423372043696,1.0588687762953488,1.0866832420431396
2010-03-10,7.993928909301758,8.052857398986816,7.971428871154785,8.029999732971191,596218000,-1.0573634018104117,-1.054945692425118,-1.0586703255145062,-1.0559912408061565,1.403965775006098,0.008160650237047706,0.015113670357136398,1.0553935710231774,1.0879573732805456
2010-03-11,7.996786117553711,8.053570747375488,7.975714206695557,8.053570747375488,405700400,-1.0572469907022204,-1.0549170185726564,-1.0584932627469408,-1.055031305740806,0.5497719375349062,0.002935369263776577,0.015669533757576796,1.046942888398052,1.083189331099806
2010-03-12,8.120356559753418,8.133213996887207,8.0625,8.092857360839844,416323600,-1.052212365694994,-1.0517156672801884,-1.0549074215446246,-1.0534313492342064,0.5974015107303693,0.004878160842773704,0.006782787918342624,1.0414225391044316,1.081220377503123
2010-03-15,8.049285888671875,8.053570747375488,7.8660712242126465,7.994286060333252,493502800,-1.0551079948724733,-1.0549170185726564,-1.06302352408537,-1.0574456884633332,0.9434377668083201,-0.012180036804252059,0.010907987902794234,1.0217645812525036,1.062106503601427
2010-03-16,8.006428718566895,8.03499984741211,7.946785926818848,8.016071319580078,446908000,-1.0568541226398305,-1.0556634970873395,-1.05968853001298,-1.0565584786937372,0.7345279809502016,0.0027251037906839137,0.007846789602873199,1.0173048302499812,1.0597086245062526
2010-03-17,8.032142639160156,8.087499618530273,7.973928928375244,8.00428581237793,450956800,-1.0558064615216203,-1.0535532088814488,-1.0585670274072017,-1.0570384462264124,0.7526809495428847,-0.0014702348235551277,0.006863262083527743,1.0090450417240704,1.0527898186615094
2010-03-18,8.003570556640625,8.035714149475098,7.950356960296631,8.023214340209961,342109600,-1.0569705726035317,-1.0556347849008507,-1.0595409809903584,-1.056267577510719,0.26465985613212195,0.0023647990933506335,0.006793711699321206,1.0051229316378414,1.0499233567306248
2010-03-19,8.028214454650879,8.044285774230957,7.901071071624756,7.9375,559445600,-1.055966507367628,-1.0552902386629843,-1.0615773899873058,-1.0597583140297178,1.2390951411695095,-0.0106832918298575,0.007134465331728143,0.9929188901321906,1.0337353501915567
2010-03-22,7.873929023742676,8.071429252624512,7.862500190734863,8.026785850524902,456419600,-1.0622525517879091,-1.0541991755764073,-1.0631710731079913,-1.05612212691921,0.7771736478307993,0.011248611089751392,0.007942625634107822,1.001550805963764,1.0394818196044533
2010-03-23,8.058570861816406,8.170714378356934,8.003570556640625,8.15571403503418,602431200,-1.0547296976263623,-1.0502082966565365,-1.0573422858004173,-1.0508714965008656,1.4318229239045515,0.016062242958786,0.010547612365959039,1.0152220821676412,1.0485883216063252
2010-03-24,8.130000114440918,8.221428871154785,8.125356674194336,8.19178581237793,597780400,-1.051819458777094,-1.048169769749854,-1.0523102907979374,-1.0494024649459288,1.4109708624713242,0.004422884028154828,0.010175449125808316,1.0176628096437672,1.0463291674434334
2010-03-25,8.247142791748047,8.248929023742676,8.08035659790039,8.094642639160156,542284400,-1.0470467199077875,-1.0470643697370463,-1.0541696173252197,-1.0533586433577564,1.1621521643337178,-0.01185860756649526,0.012668367313065811,1.0050819180411237,1.0281405864132345
2010-03-26,8.176786422729492,8.283928871154785,8.162500381469727,8.246429443359375,640875200,-1.049913246308219,-1.045657510933119,-1.0507755760608417,-1.047177090315145,1.6041882480937208,0.018751513929090136,0.012226315055682495,1.0219799652755237,1.0412134842452094
2010-03-29,8.321429252624512,8.352499961853027,8.272143363952637,8.299642562866211,540744400,-1.044020069950328,-1.0429012176982422,-1.0462453147224124,-1.045009973598183,1.15524750823,0.006452867859032763,0.012067900897959965,1.0246969237931465,1.0424324689964504
2010-03-30,8.449999809265137,8.481429100036621,8.366070747375488,8.423213958740234,527310000,-1.0387817255037672,-1.0377187638720697,-1.042364395176953,-1.0399774996477977,1.0950137991652051,0.014888761165077202,0.01185138235866122,1.034752007665833,1.0515849207376669
2010-03-31,8.410357475280762,8.450357437133789,8.373571395874023,8.39285659790039,430659600,-1.040396871346654,-1.038967724817322,-1.0420544811529402,-1.04121381025632,0.6616775820958861,-0.003604011602761692,0.012720229164056088,1.0261246374872015,1.0418328531991436
2010-04-01,8.478928565979004,8.526070594787598,8.3125,8.427499771118164,603145200,-1.037603082461087,-1.0359243480515836,-1.0445778472393663,-1.039802958937987,1.4350241735526388,0.0041276975024737705,0.00887433682537923,1.0252922922364405,1.0403082275803994
2010-04-05,8.392143249511719,8.518214225769043,8.384642601013184,8.517499923706055,684507600,-1.0411389727336176,-1.036240143768934,-1.0415970378084052,-1.0361376817091772,1.7998159863923244,0.010679342038825146,0.0069921188841537895,1.0289809437079513,1.0469087415761538
2010-04-06,8.507143020629883,8.579999923706055,8.464285850524902,8.555000305175781,447017200,-1.0364535421954544,-1.0337565971386877,-1.0383063143534312,-1.0346104699176368,0.735017583837556,0.004402745148885057,0.007056046745670627,1.026958013036023,1.0468170696428185
